run,step,score
1053,206,1.0
1054,239,3.0
1055,280,3.0
1056,216,1.0
1057,82,2.0
1058,199,3.0
1059,214,3.0
1060,77,2.0
1061,245,2.0
1062,393,6.0
1063,298,3.0
1064,80,2.0
1065,206,1.0
1066,143,5.0
1067,263,1.0
1068,424,0.0
1069,188,3.0
1070,276,7.0
1071,223,4.0
1072,300,5.0
1073,248,2.0
1074,198,3.0
1075,487,8.0
1076,99,2.0
1077,363,2.0
1078,209,4.0
1079,104,2.0
1080,403,8.0
1081,170,2.0
1082,182,1.0
1083,432,10.0
1084,274,1.0
1085,116,1.0
1086,302,6.0
1087,235,1.0
1088,153,0.0
1089,207,3.0
1090,387,6.0
1091,188,3.0
1092,153,0.0
1093,112,3.0
1094,119,2.0
1095,263,3.0
1096,90,0.0
1097,235,2.0
1098,196,3.0
1099,287,3.0
1100,216,5.0
1101,204,4.0
1102,83,2.0
1103,92,2.0
1104,317,3.0
1105,208,0.0
1106,133,2.0
1107,452,6.0
1108,280,5.0
1109,171,1.0
1110,213,4.0
1111,83,2.0
1112,94,2.0
1113,203,2.0
1114,94,1.0
1115,92,1.0
1116,245,5.0
1117,80,0.0
1118,303,6.0
1119,228,2.0
1120,79,2.0
1121,171,2.0
1122,243,4.0
1123,303,2.0
1124,161,2.0
1125,373,4.0
1126,189,0.0
1127,80,2.0
1128,235,0.0
1129,91,2.0
1130,274,2.0
1131,212,3.0
1132,121,3.0
1133,269,2.0
1134,546,8.0
1135,193,2.0
1136,194,4.0
1137,367,8.0
1138,166,3.0
1139,139,1.0
1140,281,6.0
1141,396,4.0
1142,329,0.0
1143,329,7.0
1144,107,0.0
1145,236,1.0
1146,280,3.0
1147,170,4.0
1148,269,4.0
1149,241,4.0
1150,96,0.0
1151,160,1.0
1152,224,4.0
1153,197,2.0
1154,206,5.0
1155,248,6.0
1156,99,0.0
1157,134,1.0
1158,314,3.0
1159,223,1.0
1160,96,2.0
1161,190,2.0
1162,128,4.0
1163,179,2.0
1164,1269,16.0
1165,114,2.0
1166,82,0.0
1167,418,6.0
1168,200,4.0
1169,688,4.0
1170,249,4.0
1171,309,7.0
1172,482,1.0
1173,200,4.0
1174,325,5.0
1175,305,6.0
1176,239,4.0
1177,102,0.0
1178,234,2.0
1179,217,5.0
1180,94,1.0
1181,299,2.0
1182,202,6.0
1183,239,5.0
1184,221,3.0
1185,184,0.0
1186,531,9.0
1187,95,1.0
1188,230,2.0
1189,602,8.0
1190,133,2.0
1191,226,6.0
1192,100,0.0
1193,180,1.0
1194,585,6.0
1195,187,4.0
1196,295,6.0
1197,242,4.0
1198,91,1.0
1199,260,3.0
1200,219,5.0
1201,79,2.0
1202,194,1.0
1203,609,6.0
1204,100,2.0
1205,96,2.0
1206,243,5.0
1207,374,3.0
1208,164,2.0
1209,303,6.0
1210,167,0.0
1211,200,1.0
1212,209,2.0
1213,142,3.0
1214,317,1.0
1215,283,4.0
1216,230,1.0
1217,100,3.0
1218,252,3.0
1219,98,2.0
1220,164,1.0
1221,226,3.0
1222,357,5.0
1223,104,1.0
1224,242,4.0
1225,363,4.0
1226,836,4.0
1227,276,3.0
1228,164,2.0
1229,239,4.0
1230,217,3.0
1231,214,4.0
1232,170,1.0
1233,423,5.0
1234,139,1.0
1235,108,1.0
1236,190,2.0
1237,93,2.0
1238,105,2.0
1239,206,1.0
1240,167,4.0
1241,281,2.0
1242,124,2.0
1243,511,6.0
1244,229,4.0
1245,357,3.0
1246,135,0.0
1247,101,1.0
1248,229,6.0
1249,94,1.0
1250,155,3.0
1251,188,1.0
1252,153,4.0
1253,241,2.0
1254,203,2.0
1255,83,2.0
1256,90,2.0
1257,372,6.0
1258,296,5.0
1259,347,6.0
1260,193,0.0
1261,123,5.0
1262,124,0.0
1263,202,1.0
1264,139,3.0
1265,330,2.0
1266,231,2.0
1267,80,1.0
1268,166,0.0
1269,204,2.0
1270,99,2.0
1271,331,3.0
1272,320,5.0
1273,249,2.0
1274,101,1.0
1275,254,4.0
1276,82,0.0
1277,145,2.0
1278,262,5.0
1279,311,1.0
1280,88,0.0
1281,205,2.0
1282,86,2.0
1283,93,1.0
1284,361,7.0
1285,190,2.0
1286,92,2.0
1287,478,8.0
1288,201,2.0
1289,97,0.0
1290,193,0.0
1291,121,1.0
1292,198,4.0
1293,187,2.0
1294,84,2.0
1295,130,2.0
1296,236,5.0
1297,115,0.0
1298,326,3.0
1299,197,1.0
1300,91,2.0
1301,105,0.0
1302,258,3.0
1303,260,0.0
1304,88,2.0
1305,176,1.0
1306,147,4.0
1307,177,0.0
1308,188,2.0
1309,135,2.0
1310,146,1.0
1311,266,4.0
1312,84,0.0
1313,222,3.0
1314,215,4.0
1315,82,1.0
1316,320,4.0
1317,211,2.0
1318,365,5.0
1319,97,1.0
1320,265,5.0
1321,320,5.0
1322,733,7.0
1323,208,3.0
1324,163,4.0
1325,269,2.0
1326,196,3.0
1327,125,2.0
1328,115,0.0
1329,590,8.0
1330,143,4.0
1331,196,3.0
1332,418,8.0
1333,100,0.0
1334,102,2.0
1335,278,4.0
1336,100,0.0
1337,139,0.0
1338,203,6.0
1339,95,3.0
1340,467,5.0
1341,207,4.0
1342,78,2.0
1343,96,1.0
1344,555,12.0
1345,276,4.0
1346,223,2.0
1347,257,5.0
1348,729,8.0
1349,186,1.0
1350,207,4.0
1351,367,6.0
1352,97,1.0
1353,227,1.0
1354,77,1.0
1355,95,1.0
1356,197,2.0
1357,251,5.0
1358,235,1.0
1359,223,1.0
1360,89,2.0
1361,246,3.0
1362,389,4.0
1363,192,3.0
1364,95,1.0
1365,490,6.0
1366,224,2.0
1367,195,3.0
1368,239,4.0
1369,93,1.0
1370,362,3.0
1371,272,6.0
1372,150,0.0
1373,422,1.0
1374,237,4.0
1375,95,1.0
1376,661,10.0
1377,233,0.0
1378,364,12.0
1379,359,9.0
1380,228,7.0
1381,670,14.0
1382,325,3.0
1383,242,4.0
1384,110,0.0
1385,124,1.0
1386,277,3.0
1387,375,7.0
1388,574,4.0
1389,262,3.0
1390,495,8.0
1391,214,1.0
1392,296,4.0
1393,140,2.0
1394,331,6.0
1395,410,6.0
1396,267,5.0
1397,159,2.0
1398,275,4.0
1399,421,6.0
1400,93,2.0
1401,258,1.0
1402,235,3.0
1403,135,3.0
1404,206,1.0
1405,166,4.0
1406,142,1.0
1407,272,3.0
1408,235,5.0
1409,112,1.0
1410,410,7.0
1411,168,2.0
1412,790,7.0
1413,232,2.0
1414,79,1.0
1415,192,3.0
1416,213,3.0
1417,81,2.0
1418,343,4.0
1419,212,6.0
1420,91,3.0
1421,559,4.0
1422,313,5.0
1423,248,1.0
1424,245,3.0
1425,230,5.0
1426,83,0.0
1427,279,6.0
1428,267,6.0
1429,257,0.0
1430,244,3.0
1431,205,4.0
1432,180,3.0
1433,160,1.0
1434,368,6.0
1435,206,3.0
1436,164,1.0
1437,300,6.0
1438,436,6.0
1439,125,1.0
1440,234,3.0
1441,101,0.0
1442,160,0.0
1443,208,5.0
1444,134,3.0
1445,309,1.0
1446,268,4.0
1447,91,0.0
1448,128,2.0
1449,268,3.0
1450,257,1.0
1451,92,2.0
1452,242,5.0
1453,105,0.0
1454,337,2.0
1455,219,5.0
1456,112,1.0
1457,440,3.0
1458,273,3.0
1459,476,10.0
1460,153,3.0
1461,284,5.0
1462,185,1.0
1463,265,2.0
1464,208,1.0
1465,282,4.0
1466,143,1.0
1467,347,5.0
1468,265,2.0
1469,94,0.0
1470,198,1.0
1471,286,6.0
1472,166,0.0
1473,199,0.0
1474,143,2.0
1475,169,1.0
1476,201,3.0
1477,100,2.0
1478,387,1.0
1479,420,9.0
1480,384,2.0
1481,95,0.0
1482,217,2.0
1483,336,6.0
1484,113,0.0
1485,214,0.0
1486,79,2.0
1487,97,2.0
1488,210,5.0
1489,923,18.0
1490,233,2.0
1491,195,1.0
1492,97,1.0
1493,87,1.0
1494,446,8.0
1495,274,4.0
1496,301,3.0
1497,237,5.0
1498,108,0.0
1499,155,1.0
1500,207,3.0
1501,84,2.0
1502,94,1.0
1503,166,1.0
1504,79,2.0
1505,370,4.0
1506,195,1.0
1507,131,4.0
1508,300,2.0
1509,279,7.0
1510,113,0.0
1511,323,1.0
