run,total_step,score
918,213215,1.0
919,213342,2.0
920,213488,1.0
921,213607,2.0
922,213718,3.0
923,214130,8.0
924,214321,3.0
925,214704,6.0
926,214930,4.0
927,215170,7.0
928,215328,2.0
929,215534,3.0
930,215718,3.0
931,216150,7.0
932,216343,3.0
933,216579,5.0
934,216820,2.0
935,217070,4.0
936,217201,4.0
937,217359,1.0
938,217618,5.0
939,218076,8.0
940,218171,2.0
941,218386,1.0
942,218671,4.0
943,218817,2.0
944,219086,6.0
945,219267,2.0
946,219486,5.0
947,219663,2.0
948,219759,3.0
949,219888,3.0
950,220147,7.0
951,220371,1.0
952,220668,4.0
953,220829,2.0
954,220914,3.0
955,221010,2.0
956,221221,5.0
957,221321,2.0
958,221410,0.0
959,221686,3.0
960,221956,2.0
961,222048,3.0
962,222161,1.0
963,222304,5.0
964,222410,1.0
965,222675,5.0
966,222808,1.0
967,222962,0.0
968,223204,1.0
969,223355,3.0
970,223445,0.0
971,223708,4.0
972,224012,4.0
973,224098,2.0
974,224225,2.0
975,224382,3.0
976,224461,0.0
977,224823,3.0
978,225028,0.0
979,225325,4.0
980,225474,3.0
981,225833,7.0
982,225938,3.0
983,226228,8.0
984,226595,1.0
985,226732,2.0
986,226975,5.0
987,227202,1.0
988,227364,3.0
989,227579,5.0
990,227662,2.0
991,228294,12.0
992,228545,1.0
993,228656,0.0
994,228961,6.0
995,229177,2.0
996,229454,3.0
997,229761,7.0
998,229926,3.0
999,230098,3.0
1000,230205,1.0
