run,step,score
821,675,145.0
822,542,80.0
823,613,165.0
824,826,185.0
825,410,75.0
826,626,105.0
827,1543,310.0
828,792,155.0
829,775,230.0
830,523,105.0
831,348,75.0
832,898,355.0
833,348,75.0
834,908,310.0
835,332,75.0
836,538,215.0
837,814,120.0
838,703,130.0
839,799,210.0
840,1263,240.0
841,815,215.0
842,712,140.0
843,645,130.0
844,334,30.0
845,894,195.0
846,1078,280.0
847,1019,175.0
848,800,195.0
849,645,105.0
850,533,105.0
851,631,210.0
852,339,75.0
853,832,210.0
854,348,75.0
855,400,50.0
856,552,145.0
857,394,110.0
858,382,75.0
859,953,155.0
860,923,315.0
861,1055,155.0
862,622,145.0
863,611,185.0
864,606,100.0
865,638,170.0
866,1059,530.0
867,348,15.0
868,730,125.0
869,967,260.0
870,615,115.0
871,721,355.0
872,619,55.0
873,1113,430.0
874,838,380.0
875,979,315.0
876,482,95.0
877,620,165.0
878,508,45.0
879,703,145.0
880,606,75.0
881,614,100.0
882,627,100.0
883,1198,530.0
884,612,190.0
885,554,120.0
886,761,130.0
887,911,215.0
888,646,110.0
889,471,110.0
890,1285,395.0
891,856,210.0
892,721,125.0
893,526,80.0
894,533,110.0
895,636,200.0
896,806,210.0
897,647,135.0
898,360,90.0
899,632,110.0
900,706,165.0
901,812,190.0
902,511,105.0
903,1223,225.0
904,1188,335.0
905,787,205.0
906,586,80.0
907,727,110.0
908,1396,775.0
909,531,105.0
910,780,210.0
911,798,130.0
912,663,120.0
913,785,135.0
914,479,95.0
915,505,70.0
916,639,215.0
917,526,110.0
918,684,245.0
919,662,130.0
920,873,210.0
921,574,110.0
922,426,30.0
923,1171,330.0
924,1069,575.0
925,641,155.0
926,849,225.0
927,1004,255.0
928,1104,345.0
929,605,105.0
930,322,50.0
931,637,85.0
932,654,105.0
933,879,175.0
934,697,145.0
935,382,75.0
936,979,260.0
937,1270,180.0
938,593,110.0
939,1022,285.0
940,1037,130.0
941,376,110.0
942,847,255.0
943,800,180.0
944,956,115.0
945,1029,220.0
946,752,120.0
947,589,135.0
948,355,75.0
949,543,105.0
950,1033,210.0
951,733,150.0
952,610,145.0
953,547,80.0
954,651,190.0
955,976,270.0
956,654,145.0
957,560,105.0
958,666,110.0
959,791,135.0
960,422,105.0
961,374,50.0
962,819,215.0
963,757,120.0
964,612,170.0
965,666,80.0
966,791,210.0
967,404,50.0
968,692,135.0
969,829,160.0
970,671,185.0
971,1156,315.0
972,727,130.0
973,876,145.0
974,627,220.0
975,1294,320.0
976,622,110.0
977,429,110.0
978,468,45.0
979,979,460.0
980,787,155.0
981,928,170.0
982,1067,190.0
983,631,110.0
984,329,20.0
985,627,200.0
986,644,75.0
987,689,165.0
988,687,195.0
989,531,75.0
990,778,180.0
991,669,190.0
992,1197,685.0
993,412,105.0
994,868,255.0
995,671,110.0
996,814,275.0
997,784,315.0
998,310,50.0
999,576,120.0
1000,376,70.0
1001,1231,265.0
1002,669,200.0
1003,589,140.0
1004,774,260.0
1005,843,150.0
1006,656,115.0
1007,797,135.0
1008,792,190.0
1009,807,180.0
1010,482,110.0
1011,835,220.0
1012,1315,415.0
1013,1179,510.0
1014,676,115.0
1015,706,160.0
1016,853,175.0
1017,355,10.0
1018,1008,320.0
1019,814,210.0
1020,645,70.0
1021,1026,205.0
1022,1111,500.0
1023,1085,225.0
1024,942,110.0
1025,485,50.0
1026,806,210.0
1027,1559,775.0
1028,785,185.0
1029,589,110.0
1030,443,105.0
1031,1023,285.0
1032,768,135.0
1033,831,200.0
1034,1121,520.0
1035,372,80.0
1036,932,370.0
1037,498,135.0
1038,687,120.0
1039,783,180.0
1040,1001,235.0
1041,628,190.0
1042,989,225.0
1043,652,155.0
1044,792,170.0
1045,937,450.0
1046,488,110.0
1047,469,105.0
1048,849,165.0
1049,531,50.0
1050,630,125.0
1051,328,30.0
1052,956,235.0
1053,307,50.0
1054,637,145.0
1055,339,105.0
1056,513,65.0
1057,658,110.0
1058,1073,210.0
1059,647,215.0
1060,840,245.0
1061,631,105.0
1062,1009,490.0
1063,917,235.0
1064,1561,740.0
1065,558,120.0
1066,908,175.0
1067,799,200.0
1068,911,175.0
1069,379,80.0
1070,535,55.0
1071,569,135.0
1072,978,140.0
1073,463,75.0
1074,698,185.0
1075,846,180.0
1076,389,35.0
1077,339,30.0
1078,624,105.0
1079,1001,500.0
1080,879,210.0
1081,886,290.0
1082,389,55.0
1083,352,60.0
1084,886,300.0
1085,844,160.0
1086,1130,340.0
1087,444,80.0
1088,414,60.0
1089,445,0.0
1090,419,60.0
1091,337,50.0
1092,1184,260.0
1093,681,110.0
1094,642,150.0
1095,385,40.0
1096,572,110.0
1097,971,270.0
1098,1010,345.0
1099,805,185.0
1100,798,410.0
1101,771,140.0
1102,1218,585.0
1103,662,150.0
1104,674,160.0
1105,612,80.0
1106,1075,510.0
1107,886,345.0
1108,631,165.0
1109,1103,325.0
1110,445,110.0
1111,484,105.0
1112,956,460.0
1113,640,125.0
1114,647,140.0
1115,337,50.0
1116,970,120.0
1117,1352,755.0
1118,733,265.0
1119,302,20.0
1120,1050,165.0
1121,639,195.0
1122,692,135.0
1123,782,145.0
1124,1129,240.0
1125,622,135.0
1126,800,210.0
1127,777,355.0
1128,630,135.0
1129,673,150.0
1130,813,210.0
1131,513,70.0
1132,791,185.0
1133,934,445.0
1134,515,105.0
1135,684,120.0
1136,926,330.0
1137,676,135.0
1138,1152,560.0
1139,1101,235.0
1140,1107,320.0
1141,1512,410.0
1142,918,310.0
1143,565,120.0
1144,367,45.0
1145,714,380.0
1146,325,75.0
1147,840,230.0
1148,628,195.0
1149,1646,220.0
1150,702,195.0
1151,539,75.0
1152,648,135.0
1153,693,110.0
1154,707,115.0
1155,1291,470.0
1156,1302,415.0
1157,639,135.0
1158,397,75.0
1159,799,185.0
1160,598,155.0
1161,490,105.0
1162,661,120.0
1163,1105,430.0
1164,1010,220.0
1165,709,125.0
1166,789,155.0
1167,412,110.0
1168,1311,625.0
1169,818,155.0
1170,1418,415.0
1171,683,125.0
1172,353,60.0
1173,340,60.0
1174,484,130.0
1175,1233,495.0
1176,487,105.0
1177,503,115.0
1178,509,120.0
1179,508,65.0
1180,659,110.0
1181,646,120.0
1182,819,285.0
1183,485,90.0
1184,663,195.0
1185,590,120.0
1186,535,85.0
1187,492,90.0
1188,946,215.0
1189,1110,305.0
1190,797,230.0
1191,1066,540.0
1192,1082,370.0
1193,1156,190.0
1194,375,110.0
1195,652,165.0
1196,372,90.0
1197,461,105.0
1198,948,345.0
1199,605,120.0
1200,546,185.0
1201,1080,475.0
1202,557,65.0
1203,774,185.0
1204,557,105.0
1205,824,130.0
1206,289,30.0
1207,943,190.0
1208,535,90.0
1209,324,15.0
1210,840,210.0
1211,770,210.0
1212,799,155.0
1213,1048,360.0
1214,648,125.0
1215,722,160.0
1216,780,195.0
1217,561,50.0
1218,381,90.0
1219,815,210.0
1220,356,50.0
1221,1416,400.0
1222,885,215.0
1223,1001,380.0
1224,653,90.0
1225,989,280.0
1226,944,160.0
1227,839,215.0
1228,493,75.0
1229,839,215.0
1230,1184,160.0
1231,1196,130.0
1232,505,80.0
1233,642,150.0
1234,811,195.0
1235,550,75.0
1236,846,210.0
1237,442,130.0
1238,1384,620.0
1239,826,410.0
1240,846,205.0
1241,778,175.0
1242,995,330.0
1243,969,290.0
1244,688,120.0
1245,766,135.0
1246,802,210.0
1247,698,180.0
1248,510,110.0
1249,678,195.0
1250,715,125.0
1251,809,320.0
1252,643,105.0
1253,795,280.0
1254,624,110.0
1255,596,175.0
1256,543,55.0
1257,852,130.0
1258,1528,670.0
1259,392,105.0
1260,638,195.0
1261,495,80.0
1262,492,155.0
1263,955,215.0
1264,602,120.0
1265,1081,305.0
1266,608,120.0
1267,635,125.0
1268,783,75.0
1269,992,315.0
1270,699,205.0
1271,478,150.0
1272,482,120.0
1273,924,260.0
1274,599,135.0
1275,472,55.0
1276,497,60.0
1277,670,170.0
1278,625,120.0
1279,620,115.0
1280,610,165.0
1281,647,210.0
1282,357,80.0
1283,1118,220.0
1284,561,140.0
1285,512,45.0
1286,341,50.0
1287,694,155.0
1288,344,40.0
1289,394,15.0
1290,653,85.0
1291,1056,260.0
1292,1028,260.0
